meshv:SCR_Chemical	meshv:preferredTerm	1
meshv:SCR_Chemical	meshv:previousIndexing	11
meshv:SCR_Chemical	meshv:source	11
meshv:SCR_Disease	rdfs:label	1
meshv:SCR_Disease	meshv:active	1
meshv:SCR_Disease	meshv:concept	11
meshv:SCR_Disease	meshv:dateCreated	1
meshv:SCR_Disease	meshv:dateRevised	11
meshv:SCR_Disease	meshv:frequency	1
meshv:SCR_Disease	meshv:identifier	1
meshv:SCR_Disease	meshv:mappedTo	11
meshv:SCR_Disease	meshv:note	11
meshv:SCR_Disease	meshv:preferredConcept	1
meshv:SCR_Disease	meshv:preferredMappedTo	11
meshv:SCR_Disease	meshv:preferredTerm	1
meshv:SCR_Disease	meshv:previousIndexing	11
meshv:SCR_Disease	meshv:source	11
meshv:SCR_Disease	meshv:indexerConsiderAlso	11
meshv:SCR_Disease	meshv:lastActiveYear	11
meshv:SCR_Protocol	rdfs:label	1
meshv:SCR_Protocol	meshv:pharmacologicalAction	11
meshv:SCR_Protocol	meshv:active	1
meshv:SCR_Protocol	meshv:concept	11
meshv:SCR_Protocol	meshv:dateCreated	1
meshv:SCR_Protocol	meshv:dateRevised	11
meshv:SCR_Protocol	meshv:frequency	1
meshv:SCR_Protocol	meshv:identifier	1
meshv:SCR_Protocol	meshv:indexerConsiderAlso	11
meshv:SCR_Protocol	meshv:mappedTo	8
meshv:SCR_Protocol	meshv:note	7
meshv:SCR_Protocol	meshv:preferredConcept	1
meshv:SCR_Protocol	meshv:preferredMappedTo	3
meshv:SCR_Protocol	meshv:preferredTerm	1
meshv:SCR_Protocol	meshv:previousIndexing	11
meshv:SCR_Protocol	meshv:source	6
meshv:SCR_Protocol	meshv:lastActiveYear	11
meshv:SCR_Organism	rdfs:label	1
meshv:SCR_Organism	meshv:active	1
meshv:SCR_Organism	meshv:dateCreated	1
meshv:SCR_Organism	meshv:dateRevised	1
meshv:SCR_Organism	meshv:frequency	1
meshv:SCR_Organism	meshv:identifier	1
meshv:SCR_Organism	meshv:preferredConcept	1
meshv:SCR_Organism	meshv:preferredMappedTo	1
meshv:SCR_Organism	meshv:preferredTerm	1
meshv:SCR_Organism	meshv:concept	11
meshv:SCR_Organism	meshv:indexerConsiderAlso	11
meshv:SCR_Organism	meshv:lastActiveYear	11
meshv:SCR_Organism	meshv:previousIndexing	11
meshv:SCR_Organism	meshv:note	11
meshv:AllowedDescriptorQualifierPair	rdfs:label	11
meshv:AllowedDescriptorQualifierPair	meshv:active	1
meshv:AllowedDescriptorQualifierPair	meshv:hasDescriptor	1
meshv:AllowedDescriptorQualifierPair	meshv:hasQualifier	1
meshv:AllowedDescriptorQualifierPair	meshv:lastActiveYear	11
meshv:DisallowedDescriptorQualifierPair	rdfs:label	4
meshv:DisallowedDescriptorQualifierPair	meshv:active	1
meshv:DisallowedDescriptorQualifierPair	meshv:lastActiveYear	11
meshv:DisallowedDescriptorQualifierPair	meshv:hasDescriptor	1
meshv:DisallowedDescriptorQualifierPair	meshv:hasQualifier	1
meshv:DisallowedDescriptorQualifierPair	meshv:useInstead	1
